movie_id,title,genre,duration_min,avg_rating,year,pace,director,description
M002,Interstellar Original,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M003,The Matrix Original,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M004,Avatar Original,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M005,Gladiator Original,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M006,The Dark Knight Original,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M007,Toy Story Original,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M008,The Conjuring Original,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M009,La La Land Original,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M010,The Hangover Original,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M011,Seven Original,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M012,Spirited Away Original,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M013,Pulp Fiction Original,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M014,Titanic Original,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M015,Superbad Original,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M016,Get Out Original,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M017,Blade Runner 2049 Original,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M018,Parasite Original,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M019,Inception Reloaded,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M020,Interstellar Reloaded,sci-fi,169,4.7,2026,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M021,The Matrix Reloaded,action,136,4.2,1999,fast,Lana Wachowski,Synopsis de test généré par le pipeline de données Pandas.
M022,Avatar Reloaded,thriller,120,4.1,2009,slow,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M023,Gladiator Reloaded,drama,155,4.2,2000,fast,Ridley Scott,Synopsis de test généré par le pipeline de données Pandas.
M024,The Dark Knight Reloaded,action,152,4.9,2008,fast,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
M025,Toy Story Reloaded,animation,81,4.3,1995,slow,John Lasseter,Synopsis de test généré par le pipeline de données Pandas.
M026,The Conjuring Reloaded,horror,112,3.9,2013,fast,James Wan,Synopsis de test généré par le pipeline de données Pandas.
M027,La La Land Reloaded,romance,128,4.2,2016,fast,Damien Chazelle,Synopsis de test généré par le pipeline de données Pandas.
M028,The Hangover Reloaded,comedy,100,3.8,2009,slow,Todd Phillips,Synopsis de test généré par le pipeline de données Pandas.
M029,Seven Reloaded,thriller,127,4.6,1995,fast,David Fincher,Synopsis de test généré par le pipeline de données Pandas.
M030,Spirited Away Reloaded,animation,125,4.8,2001,fast,Hayao Miyazaki,Synopsis de test généré par le pipeline de données Pandas.
M031,Pulp Fiction Reloaded,drama,154,4.5,1994,slow,Quentin Tarantino,Synopsis de test généré par le pipeline de données Pandas.
M032,Titanic Reloaded,romance,194,4.0,1997,fast,James Cameron,Synopsis de test généré par le pipeline de données Pandas.
M033,Superbad Reloaded,comedy,113,3.7,2007,fast,Greg Mottola,Synopsis de test généré par le pipeline de données Pandas.
M034,Get Out Reloaded,horror,104,4.1,2017,slow,Jordan Peele,Synopsis de test généré par le pipeline de données Pandas.
M035,Blade Runner 2049 Reloaded,sci-fi,164,4.4,2017,fast,Denis Villeneuve,Synopsis de test généré par le pipeline de données Pandas.
M036,Parasite Reloaded,thriller,132,4.6,2019,fast,Bong Joon Ho,Synopsis de test généré par le pipeline de données Pandas.
M037,Inception Evolution,sci-fi,148,4.8,2010,slow,Christopher Nolan,Synopsis de test généré par le pipeline de données Pandas.
